eta,exact_norm,defect_bound,bound_ratio
1.00,0.000000000000,0.000000000000,nan
0.95,0.190144479569,0.255578733497,1.344129127898
0.90,0.350804026523,0.498050865276,1.419741016693
0.80,0.597549684629,0.943675323681,1.579241606106
0.60,0.873140157363,1.677645019878,1.921392580253
0.40,0.974770688111,2.201909088590,2.258899570378
0.20,0.998407384588,2.516467529817,2.520481687799
0.00,1.000000000000,2.621320343560,2.621320343560
