lambda,reachable_permutations
0.0,7936
0.024769045848695864,12465
0.042750692722887534,19584
0.07650268240433745,30744
0.10696288783103643,48384
0.16439396602553005,75600
0.20751709162873314,120960
0.2767750110531336,181440
0.32807452068635334,362880
