qaoa_qubits,gate_count_n,log10_n_factorial,lambda_star,threshold_median_seconds
5,9,5.559763032876794,0.1335306957605727,1.65e-05
10,19,17.085094621213734,0.1335306957605727,5.32e-05
20,39,46.30958473754148,0.1335306957605727,0.000192
40,79,116.95163827020446,0.1335306957605727,0.000763
80,159,282.4693362580269,0.1335306957605727,0.00381
120,239,466.229157463936,0.1335306957605727,0.00849
160,319,661.8203868958328,0.1335306957605727,0.017762457
240,479,1077.5929873405487,0.1335306957605727,0.04532
320,639,1517.0027714275498,0.1335306957605727,0.09182
